"Gene_id","A02","A03","A04","A05","A06","A07","A09","A10","B01","B02","B03","B04","B05","B06","B07","B09","B10","C01","C02","C03","C04","C05","C07","C09","C10","D01","D02","D04","D05","D06","D07","D09","D10","E01","E02","E03","E05","E07","E09","E10","F01","F02","F03","F04","F05","F06","F07","F09","G01","G02","G03","G05","G06","G07","G09","G10","H01","H02","H03","H09","H10"
"ENSMUSG00000027559",0,0,1569,708,0,197,383,334,812,0,0,2231,15,370,42,0,0,0,0,357,328,0,76,0,0,0,0,819,0,1062,2181,255,0,0,756,0,979,222,0,0,725,0,95,0,2,260,12,802,62,0,0,2391,0,58,0,0,545,6,0,204,0
"ENSMUSG00000005667",0,321,7,1762,1117,864,563,784,303,480,11,0,10,0,174,308,393,1410,365,1074,273,382,381,30,1527,10,1017,1545,886,391,15,0,421,234,0,227,836,733,379,282,1689,0,672,383,44,1,212,0,0,24,2559,0,0,502,295,0,779,2089,1442,389,0
"ENSMUSG00000030660",1059,22,727,1399,146,373,1236,1697,0,588,544,18,0,25,142,0,0,961,2,2,305,26,928,33,1338,1093,76,797,13,10,517,385,119,163,758,550,0,114,397,248,294,697,39,71,0,0,0,1590,524,61,1968,508,346,3196,77,13,113,7,411,790,0
"ENSMUSG00000024197",935,543,1499,1683,10,1511,1010,972,30,19,1750,299,716,1234,0,198,329,0,1889,1419,658,120,2197,1450,428,1198,2194,921,46,172,424,334,228,405,54,440,4,64,1277,209,0,462,266,1116,618,316,1,716,580,710,1575,807,234,706,559,629,1095,531,1653,34,832
"ENSMUSG00000018821",3,819,2325,1366,461,394,2223,916,236,1353,211,330,2334,649,285,944,1315,1155,375,0,889,3776,280,898,1216,1255,253,0,1072,660,76,279,0,563,522,0,0,289,130,420,259,841,417,245,212,497,267,475,588,4,147,360,989,1145,1317,192,1052,1018,358,433,430
"ENSMUSG00000024908",84,1662,0,1120,70,644,933,83,54,234,79,843,229,408,764,663,0,449,1526,150,1326,469,341,824,620,1860,85,3811,195,0,102,1084,43,1799,61,656,121,866,391,35,154,1158,1761,1697,287,793,199,792,1337,2160,963,0,1529,641,8,43,1521,443,1532,1995,104
"ENSMUSG00000034021",0,320,155,8,69,472,1540,72,330,103,68,1077,609,43,168,127,0,262,102,587,294,406,529,1531,450,475,103,3111,887,1484,218,525,181,1391,5,253,1087,501,8,807,0,820,324,699,666,1586,245,0,486,275,0,484,171,871,742,567,106,1299,2794,175,914
"ENSMUSG00000027406",528,503,1306,634,2,398,1264,2870,1779,593,376,426,382,562,869,19,1,138,452,1635,923,434,949,2,582,519,1184,2588,227,1026,506,452,1821,133,1063,1204,321,38,177,261,1013,537,246,501,403,805,1392,1151,1457,1124,429,294,0,1639,0,543,0,0,911,851,1554
"ENSMUSG00000028633",247,2,195,408,1464,207,123,1708,845,1072,5,1320,528,109,171,756,443,97,1293,608,327,908,50,143,79,500,448,1427,1135,725,672,549,183,105,1941,512,900,748,385,444,37,853,14,516,241,0,574,192,1344,43,3340,202,0,169,904,972,0,821,63,873,370
"ENSMUSG00000032612",158,844,2116,3,142,1151,952,213,186,500,152,0,10,0,199,10,8,1429,988,9,151,558,0,1324,0,33,150,1705,247,732,523,214,15,1664,0,0,242,216,637,80,0,288,1190,223,279,1166,74,935,598,274,2228,329,82,1200,456,1114,623,6,2086,0,0
"ENSMUSG00000051154",2719,536,983,2690,0,0,1666,1206,1090,213,1373,202,0,903,158,0,0,0,259,379,133,75,164,283,242,753,0,986,85,115,584,248,406,243,162,0,793,360,0,334,871,1109,623,687,404,1320,35,97,650,277,973,1581,283,1205,535,374,1105,0,1430,1120,2
"ENSMUSG00000041406",394,0,2,140,895,858,174,52,374,174,113,2,33,126,163,171,662,0,0,54,95,203,67,112,1362,199,0,3017,687,0,0,28,0,23,550,36,170,73,61,47,0,89,173,108,584,0,178,3,2,866,143,0,0,128,94,35,0,0,0,1524,0
"ENSMUSG00000036913",0,2071,0,940,0,0,641,0,0,18,0,0,0,731,187,0,0,409,0,1384,0,1,71,502,0,1095,825,644,0,0,650,398,0,0,0,4,0,805,2,918,0,0,1305,382,1001,203,0,164,993,56,0,1305,209,3,0,706,477,0,0,3338,0
"ENSMUSG00000028530",2719,608,1495,1454,75,545,1071,2,49,309,136,1491,46,992,75,61,2,0,59,2316,736,87,179,559,12,322,941,0,101,447,507,96,1906,0,222,1280,310,364,8,0,0,1099,660,1042,686,0,0,361,1645,0,1057,1278,224,1096,1884,0,0,0,349,831,0
"ENSMUSG00000019849",35,639,700,795,1710,184,1880,584,805,637,848,674,1041,38,1817,0,0,601,6,540,912,972,645,2314,584,702,868,834,385,1133,628,428,2416,0,815,1503,9,585,0,390,0,281,587,113,879,0,1297,511,170,353,1136,964,541,0,913,456,200,982,127,6,1220
"ENSMUSG00000042508",551,10,497,2870,91,308,237,1804,299,1673,77,756,16,271,20,957,2503,1117,691,575,168,82,219,1090,467,374,365,0,78,822,206,11,129,19,1011,715,40,504,1243,191,1850,111,631,35,581,260,778,505,435,808,1482,10,297,397,28,2,50,56,1158,8,1839
"ENSMUSG00000066000",555,44,228,206,915,19,984,884,1484,858,152,317,729,970,371,887,2483,249,130,0,578,722,1036,0,1026,359,0,213,38,397,2,246,162,974,1164,252,40,206,981,296,3239,233,0,508,0,9,2137,234,1431,20,14,0,411,700,0,353,296,593,1348,492,1623
